Player,Pos,Pts,Team,Status,Salary,Bid
Connor McDavid,F,145,GVR,START,11.4,0.5
Leon Draisaitl,F,120,RFA,0,0,0.5
Nikita Kucherov,F,110,UFA,0,0,0.5
Matthew Tkachuk,F,107,VPP,START,5,0.5
Jason Robertson,F,105,BOT,START,1.7,0.5
Nathan MacKinnon,F,101,RFA,0,0,0.5
Mitchell Marner,F,100,HSM,START,6.4,0.5
David Pastrnak,F,98,RFA,0,0,0.5
Jack Hughes,F,97,HSM,START,2.5,0.5
Mikko Rantanen,F,97,GVR,START,6.4,0.5
Elias Pettersson,F,96,LPT,START,3.1,0.5
Auston Matthews,F,94,HSM,START,6.5,0.5
Johnny Gaudreau,F,93,UFA,0,0,0.5
Kyle Connor,F,93,HSM,START,4.5,0.5
Artemi Panarin,F,91,UFA,0,0,0.5
Connor Bedard,F,91,ENT,0,0,0.5
Kirill Kaprizov,F,91,SRL,START,6.9,0.5
Clayton Keller,F,90,ZSK,START,2,0.5
Tage Thompson,F,90,RFA,0,0,0.5
Sidney Crosby,F,88,UFA,0,0,0.5
Tim Stutzle,F,88,GVR,START,0.9,0.5
Igor Shesterkin,G,87,GVR,START,4,0.5
Brady Tkachuk,F,86,VPP,START,3,0.5
Jake Oettinger,G,86,ZSK,START,1.4,0.5
Mika Zibanejad,F,86,UFA,0,0,0.5
J.T. Miller,F,85,LPT,START,5,0.5
Ryan Nugent-Hopkins,F,85,UFA,0,0,0.5
Aleksander Barkov,F,84,LGN,START,5.4,0.5
Brayden Point,F,83,RFA,0,0,0.5
Connor Hellebuyck,G,82,UFA,0,0,0.5
Jonathan Huberdeau,F,82,MAC,START,6,0.5
William Nylander,F,82,RFA,0,0,0.5
Alexandar Georgiev,G,81,LPT,START,4.7,0.5
Erik Karlsson,D,81,UFA,0,0,0.5
Jordan Kyrou,F,81,RFA,0,0,0.5
Steven Stamkos,F,81,UFA,0,0,0.5
Ilya Sorokin,G,80,UFA,0,0,0.5
